Gemeente,Evolutie 2018 - 2019,Mediaanprijs 2018,Mediaanprijs 2019,Mediaanprijs 2020,Evolutie Juli 2020 - December 2019,publicatiekolom
Nijlen,2,269,275,262,-5,-5
Nivelles,3,288.368,298.247,315,6,6
Ninove,1,230,232,210,-9,-9
Oreye,11,185,205,null,null,0
Ohey,-9,245,222,null,null,0
Olen,12,248.75,279,281.25,1,1
Olne,-8,228,210,null,null,0
Onhaye,12,170,190,null,null,0
Oostende,0,220,220,232,5,5
Oosterzele,10,290,318.924,360.048,13,13
Oostkamp,1,295,298,312,5,5
Oostrozebeke,-2,246.75,242,269.5,11,11
Opwijk,11,250,278.748,270,-3,-3
Silly,-8,257.5,237.5,null,null,0
Orp-Jauche,-7,231,215,242.5,13,13
Ottignies-Louvain-la-Neuve,0,330,328.5,337,3,3
Oudenaarde,-1,249,245.5,250,2,2
Oudenburg,2,259.726,265,250,-6,-6
Oudergem,5,445,468.5,490.75,5,5
Oud-Heverlee,-4,381.875,367.5,425,16,16
Oudsbergen,5,238,249,260,4,4
Oud-Turnhout,1,286.5,289,320,11,11
Ouffet,-27,212,155,null,null,0
Oupeye,-7,189,175,200,14,14
Overijse,-3,400,390,430,10,10
Paliseul,-11,177.5,157.5,165,5,5
Pecq,0,175,175,null,null,0
Peer,2,239.25,245,null,null,0
Pelt,4,239.5,250,249,0,0
Pepingen,null,325.5,null,null,null,-50
Pepinster,0,160,159.5,170,7,7
Péruwelz,8,120,130,175,35,35
Perwez,14,239.5,272.5,250,-8,-8
Philippeville,27,122.25,155,145,-6,-6
Pittem,1,249.5,252.5,245,-3,-3
Plombières,1,170,172.5,181.5,5,5
Pont-à-Celles,1,185,187.5,215,15,15
Poperinge,0,200,200,200,0,0
Profondeville,10,233,256.25,230,-10,-10
Putte,4,287.5,299.5,285,-5,-5
Puurs-Sint-Amands,9,275,299.5,289,-4,-4
Quaregnon,-3,110,106.5,100,-6,-6
Quévy,25,130,163,150,-8,-8
Quiévrain,-9,110,100,127.5,28,28
Raeren,null,null,null,null,null,-50
Ramillies,3,262.5,270,280,4,4
Ranst,3,340,349.5,350,0,0
Ravels,11,285,317,325,3,3
Rebecq,8,217.5,235,240,2,2
Remicourt,5,190,199,220,11,11
Rendeux,0,125,125,156.25,25,25
Retie,-2,277.25,272.3,275,1,1
Riemst,12,197,220,227.5,3,3
Rijkevorsel,-2,295,290,320,10,10
Rixensart,9,350,381.5,354,-7,-7
Rochefort,2,162.5,165,170,3,3
Roeselare,2,220,223.75,225,1,1
Ronse,3,150,155,166.5,7,7
Roosdaal,21,260,314.5,300,-5,-5
Rotselaar,18,280,330,345.857,5,5
Rouvroy,null,null,122,null,null,-50
Ruiselede,3,285,293,null,null,0
Rumes,0,145,145,null,null,0
Rumst,-4,285,275,274,0,0
Braine-le-Comte,-9,225,205,230,12,12
Sainte-Ode,null,null,null,null,null,-50
Saint-Georges-sur-Meuse,5,186.5,195,211.5,8,8
Saint-Ghislain,2,155,158,157.5,0,0
Saint-Hubert,-8,160,148,null,null,0
Saint-Léger,18,170,200,null,null,0
Saint-Nicolas,-3,138.5,135,148.75,10,10
Sambreville,3,156,160,180,13,13
Sankt Vith,3,190,195,null,null,0
Schaarbeek,14,350,400,410,2,2
Schelle,4,230,240,322.5,34,34
Scherpenheuvel-Zichem,-10,232,208,250,20,20
Schilde,-3,413.5,400,426.25,7,7
Schoten,4,290,302.25,315,4,4
Seneffe,10,227.5,250,216,-14,-14
Seraing,8,125,135,140,4,4
Sint-Agatha-Berchem,4,319.5,332.5,360,8,8
Sint-Genesius-Rode,0,388.75,390,407.5,4,4
Sint-Gillis,10,410,452.5,535,18,18
Sint-Gillis-Waas,3,255,262,310,18,18
Sint-Jan-Molenbeek,1,276.25,280,317.5,13,13
Sint-Joost-ten-Node,-8,353,325,null,null,0
Sint-Katelijne-Waver,13,285,322,292.5,-9,-9
Sint-Lambrechts-Woluwe,5,499,525,530,1,1
Sint-Laureins,8,233,252,226.5,-10,-10
Sint-Lievens-Houtem,-4,227.5,218.24,275,26,26
Sint-Martens-Latem,42,430,612.5,467,-24,-24
Sint-Niklaas,4,229.5,239,255,7,7
Sint-Pieters-Leeuw,7,270,288.724,294,2,2
Sint-Pieters-Woluwe,3,566.5,582.5,629,8,8
Sint-Truiden,5,190,200,205,2,2
Sivry-Rance,3,145,150,155,3,3
Sombreffe,2,210,215,235,9,9
Somme-Leuze,1,137.5,138.5,148,7,7
Soumagne,18,190,223.85,225,1,1
Spa,-4,191.5,183,175,-4,-4
Spiere-Helkijn,null,null,null,null,null,-50
Sprimont,17,197,230,212.5,-8,-8
Stabroek,11,259.5,288.5,289,0,0
Staden,-1,234.5,232.5,265,14,14
Stavelot,1,175,177.5,156,-12,-12
Steenokkerzeel,5,327.5,344.736,359.775,4,4
Stekene,16,258.5,299,265,-11,-11
